"","CPG","WEIGHT","P","gene","TRAIT"
"7356","cg01548777",-0.005,7.01e-05,"ZBTB46","mSmoking"
"7357","cg07963563",-0.007,7.01e-05,"HSPA12B","mSmoking"
"7359","cg08708079",0.004,7.02e-05,"SPEF1","mSmoking"
"7361","cg01226742",-0.01,7.04e-05,"GPR124","mSmoking"
"7362","cg03829542",0.004,7.04e-05,"-","mSmoking"
"7375","cg04602755",-0.007,7.08e-05,"SHC1;PYGO2","mSmoking"
"7381","cg16984944",0.004,7.12e-05,"TBC1D23","mSmoking"
"7382","cg25399743",0.011,7.12e-05,"EPHX2","mSmoking"
"7384","cg23245711",-0.003,7.13e-05,"FBXW12","mSmoking"
"7388","cg21743307",0.011,7.15e-05,"CACNA2D3","mSmoking"
"7395","cg15946224",-0.004,7.18e-05,"-","mSmoking"
"7398","cg08293075",-0.004,7.19e-05,"PBX2","mSmoking"
"7404","cg11845549",0.004,7.21e-05,"-","mSmoking"
"7405","cg14643075",0.007,7.21e-05,"-","mSmoking"
"7406","cg27351978",-0.015,7.21e-05,"DLGAP2","mSmoking"
"7413","cg00741634",-0.004,7.23e-05,"KIAA0892;SF4","mSmoking"
"7415","cg19164987",0.008,7.24e-05,"HOXC4;HOXC5;HOXC6","mSmoking"
"7416","cg07891911",-0.006,7.24e-05,"-","mSmoking"
"7419","cg12073208",0.005,7.26e-05,"OR7E91P","mSmoking"
"7420","cg06850687",0.005,7.26e-05,"-","mSmoking"
"7433","cg01228134",0.004,7.31e-05,"ECEL1","mSmoking"
"7435","cg01909364",-0.006,7.32e-05,"MEOX1","mSmoking"
"7439","cg07492518",0.005,7.33e-05,"TBC1D20","mSmoking"
"7443","cg05150608",0.009,7.35e-05,"-","mSmoking"
"7459","cg19042390",-0.008,7.42e-05,"-","mSmoking"
"7460","cg15700587",0.004,7.42e-05,"MIR548I4;CNTNAP2","mSmoking"
"7464","cg04555107",0.003,7.44e-05,"KIAA0247","mSmoking"
"7465","cg12640049",-0.008,7.45e-05,"IGSF21","mSmoking"
"7466","cg17402325",0.003,7.45e-05,"KCNH2","mSmoking"
"7468","cg25947408",-0.006,7.46e-05,"TCF7","mSmoking"
"7469","cg19206146",0.005,7.46e-05,"-","mSmoking"
"7472","cg16855355",0.005,7.47e-05,"-","mSmoking"
"7496","cg06734510",-0.004,7.56e-05,"PLCL1","mSmoking"
"7498","cg11083235",-0.007,7.57e-05,"-","mSmoking"
"7499","cg15078061",0.006,7.57e-05,"PRRT1","mSmoking"
"7502","cg14035860",0.013,7.58e-05,"-","mSmoking"
"7504","cg21505886",-0.004,7.59e-05,"TMEM129;TACC3","mSmoking"
"7505","cg18864857",0.004,7.59e-05,"DLK1","mSmoking"
"7506","cg24091104",0.005,7.6e-05,"-","mSmoking"
"7507","cg19842134",0.003,7.6e-05,"ATP5G2","mSmoking"
"7508","cg24778896",0.005,7.6e-05,"LOC390595","mSmoking"
"7511","cg26530713",-0.003,7.62e-05,"CRTC2","mSmoking"
"7512","cg02149773",-0.006,7.62e-05,"IL28A","mSmoking"
"7518","cg26842034",0.002,7.63e-05,"SCGBL","mSmoking"
"7519","cg00178551",-0.005,7.64e-05,"-","mSmoking"
"7532","cg00637988",0.004,7.7e-05,"MESP1","mSmoking"
"7533","cg15701612",-0.006,7.71e-05,"-","mSmoking"
"7537","cg12441214",0.005,7.72e-05,"PRDM16","mSmoking"
"7538","cg17168836",-0.006,7.72e-05,"GNG12","mSmoking"
"7541","cg01917340",0.009,7.73e-05,"-","mSmoking"
"7542","cg02687352",-0.003,7.74e-05,"FAM178B","mSmoking"
"7543","cg00976097",0.013,7.74e-05,"AHRR","mSmoking"
"7548","cg02616966",-0.002,7.77e-05,"MCCC1","mSmoking"
"7549","cg03954086",0.005,7.77e-05,"-","mSmoking"
"7557","cg09573890",-0.001,7.79e-05,"RELT","mSmoking"
"7560","cg09119433",-0.001,7.8e-05,"-","mSmoking"
"7561","cg25598308",0.006,7.8e-05,"-","mSmoking"
"7565","cg15022598",-0.001,7.81e-05,"-","mSmoking"
"7567","cg26749518",-0.018,7.82e-05,"KLK9;KLK8","mSmoking"
"7570","cg08157684",0.006,7.83e-05,"SYTL1","mSmoking"
"7571","cg26685752",0.006,7.83e-05,"TCHH","mSmoking"
"7574","cg04972745",-0.013,7.84e-05,"-","mSmoking"
"7585","cg05914034",-0.004,7.87e-05,"FBXL18","mSmoking"
"7587","cg13668490",0.005,7.88e-05,"ITGA2B","mSmoking"
"7589","cg04907244",-0.003,7.89e-05,"SNORD93","mSmoking"
"7595","cg15575538",-0.008,7.9e-05,"-","mSmoking"
"7600","cg13870990",-0.003,7.92e-05,"DSC2","mSmoking"
"7601","cg18369516",-0.002,7.92e-05,"ZBTB46","mSmoking"
"7602","cg01768385",-0.002,7.93e-05,"CYFIP1","mSmoking"
"7604","cg21166092",-0.006,7.94e-05,"-","mSmoking"
"7605","cg24728542",0.004,7.94e-05,"C6orf64","mSmoking"
"7610","cg04202957",-0.007,7.95e-05,"EEF1B2;NDUFS1","mSmoking"
"7611","cg16323245",0.009,7.95e-05,"ZBTB20","mSmoking"
"7612","cg22257374",-0.003,7.95e-05,"ZFYVE20","mSmoking"
"7619","cg21334513",0.01,7.98e-05,"-","mSmoking"
"7622","cg04674060",-0.004,7.99e-05,"CHD3","mSmoking"
"7624","cg13382100",-0.002,8e-05,"PUS1","mSmoking"
"7629","cg14076231",-0.007,8.01e-05,"-","mSmoking"
"7636","cg15079934",-0.004,8.03e-05,"LSP1","mSmoking"
"7638","cg23206461",0.011,8.05e-05,"-","mSmoking"
"7642","cg17636752",0.007,8.06e-05,"RUNX2","mSmoking"
"7651","cg02362017",0.007,8.09e-05,"-","mSmoking"
"7652","cg08575722",0.006,8.09e-05,"WT1","mSmoking"
"7653","cg01178924",-0.007,8.09e-05,"LMO7","mSmoking"
"7654","cg23621631",0.005,8.09e-05,"RIPK3","mSmoking"
"7657","cg00179921",-0.004,8.1e-05,"RPS19BP1","mSmoking"
"7672","cg00534380",-0.005,8.17e-05,"TBC1D8","mSmoking"
"7673","cg15299997",0.006,8.17e-05,"UGT1A5;UGT1A6;UGT1A10;UGT1A9;UGT1A7;UGT1A8","mSmoking"
"7674","cg12037550",-0.006,8.17e-05,"ADARB2","mSmoking"
"7677","cg06636831",0.006,8.19e-05,"CLEC3B","mSmoking"
"7678","cg09065113",0.011,8.19e-05,"-","mSmoking"
"7683","cg05745631",0.011,8.21e-05,"-","mSmoking"
"7684","cg20274009",0.004,8.21e-05,"-","mSmoking"
"7686","cg13347910",0.013,8.22e-05,"GCNT2","mSmoking"
"7688","cg05779786",-0.008,8.23e-05,"AGAP1","mSmoking"
"7689","cg07444414",0.005,8.23e-05,"PRRT1","mSmoking"
"7690","cg04882213",0.007,8.23e-05,"-","mSmoking"
"7693","cg00583861",0.002,8.24e-05,"-","mSmoking"
"7694","cg01493567",0.01,8.24e-05,"ZNF84","mSmoking"
"7695","cg12417609",0.009,8.24e-05,"-","mSmoking"
"7698","cg20806725",0.006,8.25e-05,"-","mSmoking"
"7700","cg00892368",0.009,8.27e-05,"PPP1R2P1","mSmoking"
"7702","cg24033491",-0.002,8.28e-05,"-","mSmoking"
"7707","cg27639662",-0.015,8.3e-05,"PRDM8","mSmoking"
"7709","cg14635132",0.004,8.31e-05,"-","mSmoking"
"7711","cg20245362",0.018,8.33e-05,"-","mSmoking"
"7715","cg07607074",-0.004,8.34e-05,"DAXX","mSmoking"
"7721","cg16332065",0.012,8.36e-05,"GABRG1","mSmoking"
"7729","cg27605208",0.003,8.39e-05,"MYNN","mSmoking"
"7733","cg02295856",-0.005,8.4e-05,"MAPK8IP3","mSmoking"
"7739","cg08106961",-0.004,8.42e-05,"GRIK3","mSmoking"
"7743","cg26554302",0.009,8.43e-05,"-","mSmoking"
"7744","cg14155397",-0.007,8.44e-05,"MAP2K1","mSmoking"
"7746","cg17792616",0.01,8.45e-05,"-","mSmoking"
"7748","cg05394244",0.007,8.46e-05,"PTP4A1","mSmoking"
"7749","cg01971407",-0.005,8.46e-05,"IFITM1","mSmoking"
"7750","cg00961617",0.008,8.46e-05,"PPP1R1B","mSmoking"
"7758","cg13215995",0.004,8.5e-05,"-","mSmoking"
"7764","cg05893709",0.007,8.51e-05,"IDO2","mSmoking"
"7769","cg27190654",-0.006,8.53e-05,"-","mSmoking"
"7770","cg21493768",0.012,8.53e-05,"-","mSmoking"
"7771","cg08555866",0.008,8.53e-05,"-","mSmoking"
"7776","cg02672759",-0.007,8.54e-05,"-","mSmoking"
"7778","cg21330896",-0.008,8.55e-05,"ZNF395","mSmoking"
"7783","cg25944479",0.002,8.57e-05,"-","mSmoking"
"7784","cg23793686",0.008,8.57e-05,"-","mSmoking"
"7788","cg20821842",0.003,8.59e-05,"MIR1182;FAM89A","mSmoking"
"7789","cg09359391",-0.005,8.59e-05,"SLC26A1","mSmoking"
"7790","cg08787837",0.005,8.59e-05,"-","mSmoking"
"7792","cg05709437",0.01,8.6e-05,"PDC;MIR548F1","mSmoking"
"7793","cg12094552",0.008,8.6e-05,"-","mSmoking"
"7798","cg14786790",0.006,8.61e-05,"FAM13A","mSmoking"
"7799","cg10090650",0.005,8.62e-05,"KAAG1;DCDC2","mSmoking"
"7803","cg19480385",-0.007,8.63e-05,"-","mSmoking"
"7805","cg22830895",0.007,8.64e-05,"CRYGN","mSmoking"
"7809","cg01943221",-0.004,8.66e-05,"PIK3CD","mSmoking"
"7812","cg13412545",0.006,8.68e-05,"-","mSmoking"
"7813","cg12837463",-0.009,8.68e-05,"-","mSmoking"
"7820","cg06657240",-0.003,8.7e-05,"-","mSmoking"
"7823","cg19733736",0.006,8.73e-05,"RDH5","mSmoking"
"7824","cg09978105",0.009,8.73e-05,"-","mSmoking"
"7826","cg24617171",0.007,8.74e-05,"-","mSmoking"
"7827","cg10372921",-0.007,8.74e-05,"LOXL1","mSmoking"
"7831","cg15392111",-0.004,8.76e-05,"NDUFC1","mSmoking"
"7834","cg18694758",-0.007,8.78e-05,"-","mSmoking"
"7839","cg02732508",-0.004,8.8e-05,"RPL13","mSmoking"
"7841","cg21073930",0.013,8.83e-05,"MAST1","mSmoking"
"7844","cg04641860",-0.007,8.85e-05,"HNRNPF","mSmoking"
"7847","cg04474366",-0.005,8.87e-05,"SNORA4;EIF4A2","mSmoking"
"7848","cg15180789",0.009,8.87e-05,"SCHIP1","mSmoking"
"7849","cg25009862",-0.001,8.87e-05,"SQSTM1;MGAT4B","mSmoking"
"7852","cg16795307",0.002,8.88e-05,"STARD13","mSmoking"
"7858","cg02650512",-0.004,8.91e-05,"RPL23A;SNORD4A;SNORD42A","mSmoking"
"7859","cg14140691",-0.005,8.92e-05,"CACNA1B","mSmoking"
"7861","cg21484547",0.007,8.93e-05,"-","mSmoking"
"7862","cg13523713",0.003,8.93e-05,"PLA2G4C","mSmoking"
"7867","cg24690588",0.007,8.95e-05,"C1orf168","mSmoking"
"7869","cg12288726",0.005,8.96e-05,"ARF5","mSmoking"
"7870","cg17470251",0.013,8.96e-05,"CSGALNACT1","mSmoking"
"7874","cg10703453",-0.005,8.97e-05,"SNORA38;BAT2","mSmoking"
"7876","cg17168157",0.01,8.98e-05,"RGS22","mSmoking"
"7889","cg11708690",-0.004,9.05e-05,"-","mSmoking"
"7892","cg24980413",-0.007,9.06e-05,"AHRR","mSmoking"
"7896","cg23575668",0.001,9.08e-05,"HIC2","mSmoking"
"7901","cg07214490",-0.007,9.11e-05,"PAX2","mSmoking"
"7921","cg12324708",-0.003,9.18e-05,"-","mSmoking"
"7922","cg15660293",0.004,9.18e-05,"-","mSmoking"
"7925","cg21454485",0.006,9.19e-05,"CD84","mSmoking"
"7926","cg07096305",-0.002,9.19e-05,"-","mSmoking"
"7928","cg07972116",0.005,9.2e-05,"-","mSmoking"
"7929","cg03817727",0.006,9.2e-05,"-","mSmoking"
"7938","cg16260421",0.004,9.22e-05,"AGBL4","mSmoking"
"7939","cg23028178",0.006,9.22e-05,"NID1","mSmoking"
"7942","cg05895711",-0.007,9.23e-05,"-","mSmoking"
"7948","cg02225599",-0.005,9.27e-05,"HOXA2","mSmoking"
"7949","cg24766327",0.004,9.27e-05,"-","mSmoking"
"7951","cg13228314",0.006,9.28e-05,"RBP4","mSmoking"
"7958","cg21639031",0.005,9.32e-05,"-","mSmoking"
"7963","cg06041567",-0.001,9.34e-05,"C3orf21","mSmoking"
"7967","cg00342358",-0.008,9.38e-05,"TGFBR3","mSmoking"
"7969","cg02054431",-0.006,9.39e-05,"SNORA38;BAT2","mSmoking"
"7975","cg20588859",0.008,9.41e-05,"LTBP3","mSmoking"
"7978","cg09013220",0.003,9.42e-05,"-","mSmoking"
"7981","cg06529600",0.006,9.43e-05,"-","mSmoking"
"7982","cg14565465",0.007,9.43e-05,"TMEM2","mSmoking"
"7985","cg10854819",0.013,9.45e-05,"-","mSmoking"
"7986","cg00682002",0.006,9.46e-05,"KCP","mSmoking"
"7998","cg05068206",0.006,9.52e-05,"-","mSmoking"
"8000","cg01340991",-0.006,9.53e-05,"SYNGAP1","mSmoking"
"8006","cg06468619",0.005,9.54e-05,"NOSIP;PRRG2","mSmoking"
"8012","cg07712663",-0.009,9.57e-05,"FAM49A","mSmoking"
"8016","cg11613164",0.005,9.59e-05,"-","mSmoking"
"8017","cg08818632",0.006,9.59e-05,"OTOP3","mSmoking"
"8019","cg10502303",0.007,9.61e-05,"FAM49A","mSmoking"
"8024","cg11222065",-0.006,9.62e-05,"VPS52;RPS18","mSmoking"
"8025","cg02948944",0.005,9.62e-05,"-","mSmoking"
"8029","cg20104432",0.006,9.64e-05,"TTC26","mSmoking"
"8031","cg16425713",-0.003,9.65e-05,"RXRB","mSmoking"
"8035","cg23247968",-0.002,9.66e-05,"C10orf26","mSmoking"
"8041","cg08568736",-0.002,9.69e-05,"-","mSmoking"
"8056","cg19240117",0.009,9.73e-05,"-","mSmoking"
"8064","cg03918288",-0.004,9.79e-05,"SPATC1","mSmoking"
"8065","cg01763290",0.01,9.79e-05,"-","mSmoking"
"8073","cg15408734",-0.004,9.85e-05,"-","mSmoking"
"8076","cg08167047",-0.001,9.86e-05,"ARAP1","mSmoking"
"8086","cg18892212",0.005,9.92e-05,"SLC5A2","mSmoking"
"8089","cg12113819",0.005,9.94e-05,"MED13L","mSmoking"
"8093","cg17818435",-0.005,9.96e-05,"SOAT2","mSmoking"
"8094","cg12946660",-0.01,9.96e-05,"HNRNPUL1","mSmoking"
"8098","cg00576550",0.004,9.98e-05,"HTR3D","mSmoking"
